days,Confirmed Cases, Shortness of Breath searches, Congestion searches, Loss of taste searches
2020-02-29, 1, 49202.1, 120271.8, 0
2020-03-01, 1, 49202.1, 120271.8, 0
2020-03-02, 1, 27334.5, 67425.1, 0
2020-03-03, 2, 27334.5, 182230, 0
2020-03-04, 2, 140317.1, 56491.3, 54669
2020-03-05, 2, 85648.1, 105693.4, 0
2020-03-06, 3, 0, 82003.5, 56491.3
2020-03-07, 5, 32801.4, 0, 0
2020-03-08, 5, 49202.1, 92937.3, 65602.8
2020-03-09, 6, 72892, 71069.7, 0
2020-03-10, 6, 29156.8, 118449.5, 0
2020-03-11, 9, 0, 82003.5, 0
2020-03-12, 9, 80181.2, 67425.1, 0
2020-03-13, 9, 56491.3, 122094.1, 0
2020-03-14, 12, 82003.5, 160362.4, 0
2020-03-15, 13, 65602.8, 80181.2, 0
2020-03-16, 18, 71069.7, 71069.7, 0
2020-03-17, 20, 98404.2, 91115, 0
2020-03-18, 28, 96581.9, 102048.8, 54669
2020-03-19, 47, 83825.8, 103871.1, 0
2020-03-20, 70, 138494.8, 102048.8, 0
2020-03-21, 104, 109338, 102048.8, 0
2020-03-22, 153, 142139.4, 89292.7, 61958.2
2020-03-23, 234, 107515.7, 76536.6, 52846.7
2020-03-24, 326, 182230, 103871.1, 138494.8
2020-03-25, 402, 41912.9, 125738.7, 54669
2020-03-26, 508, 111160.3, 80181.2, 111160.3
2020-03-27, 665, 67425.1, 98404.2, 52846.7
2020-03-28, 773, 92937.3, 56491.3, 122094.1
2020-03-29, 930, 61958.2, 138494.8, 60135.9
2020-03-30, 1169, 52846.7, 85648.1, 52846.7
2020-03-31, 1298, 105693.4, 107515.7, 52846.7
2020-04-01, 1413, 118449.5, 96581.9, 52846.7
2020-04-02, 1600, 158540.1, 49202.1, 78358.9
2020-04-03, 1769, 67425.1, 54669, 52846.7
2020-04-04, 2019, 89292.7, 72892, 60135.9
2020-04-05, 2269, 45557.5, 136672.5, 60135.9
2020-04-06, 2466, 80181.2, 82003.5, 52846.7
2020-04-07, 2577, 67425.1, 98404.2, 0
2020-04-08, 2726, 27334.5, 76536.6, 52846.7
2020-04-09, 3018, 107515.7, 89292.7, 0
