days,Confirmed Cases, Shortness of Breath searches, Congestion searches, Loss of Taste searches
2020-03-01,2,160873.92,271474.74,85464.27
2020-03-02,2,196065.09,221201.64,0
2020-03-03,3,135737.37,261420.12,150819.3
2020-03-04,3,216174.33,251365.5,0
2020-03-05,4,165901.23,241310.88,0
2020-03-06,7,140764.68,186010.47,0
2020-03-07,12,160873.92,266447.43,0
2020-03-08,13,186010.47,261420.12,0
2020-03-09,14,236283.57,246338.19,70382.34
2020-03-10,23,256392.81,261420.12,0
2020-03-11,26,196065.09,231256.26,0
2020-03-12,46,346884.39,366993.63,70382.34
2020-03-13,70,341857.08,251365.5,0
2020-03-14,70,392130.18,296611.29,0
2020-03-15,109,462512.52,336829.77,0
2020-03-16,141,502731,311693.22,75409.65
2020-03-17,210,437375.97,261420.12,0
2020-03-18,326,442403.28,346884.39,0
2020-03-19,434,462512.52,316720.53,0
2020-03-20,564,341857.08,502731,150819.3
2020-03-21,764,492676.38,366993.63,85464.27
2020-03-22,1000,351911.7,392130.18,115628.13
2020-03-23,1222,417266.73,321747.84,502731
2020-03-24,1467,467539.83,236283.57,377048.25
2020-03-25,1971,281529.36,361966.32,266447.43
2020-03-26,2478,427321.35,221201.64,115628.13
2020-03-27,3198,412239.42,236283.57,170928.54
2020-03-28,4038,457485.21,331802.46,170928.54
2020-03-29,4943,452457.9,170928.54,0
2020-03-30,5695,447430.59,236283.57,140764.68
2020-03-31,6742,382075.56,145791.99,211147.02
2020-04-01,7769,432348.66,191037.78,140764.68
2020-04-02,9000,281529.36,175955.85,105573.51
2020-04-03,10260,261420.12,135737.37,75409.65
2020-04-04,11537,467539.83,261420.12,170928.54
2020-04-05,12342,326775.15,221201.64,80436.96
2020-04-06,13621,402184.8,246338.19,105573.51
2020-04-07,14739,306665.91,226228.95,70382.34
2020-04-08,15690,331802.46,125682.75,70382.34
2020-04-09,16819,296611.29,100546.2,75409.65
2020-04-10,17960,286556.67,186010.47,115628.13
2020-04-11,18978,256392.81,170928.54,85464.27
2020-04-12,19855,276502.05,261420.12,125682.75
2020-04-13,21011,346884.39,105573.51,70382.34
2020-04-14,21620,276502.05,140764.68,105573.51
2020-04-15,22526,251365.5,145791.99,135737.37
2020-04-16,23332,180983.16,95518.89,90491.58
2020-04-17,24745,306665.91,135737.37,70382.34
2020-04-18,25484,231256.26,160873.92,80436.96
2020-04-19,26306,206119.71,130710.06,80436.96
2020-04-20,27050,276502.05,160873.92,105573.51
2020-04-21,27861,186010.47,105573.51,70382.34
2020-04-22,28301,170928.54,80436.96,110600.82
2020-04-23,29640,276502.05,120655.44,140764.68
2020-04-24,30525,231256.26,85464.27,105573.51
2020-04-25,30831,211147.02,150819.3,241310.88
2020-04-26,31520,191037.78,75409.65,80436.96
